customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,dependency_score,value_tier,value_score,satisfaction_flag,loyalty_segment,retention_risk,age_group,promo_sensitivity,premium_customer
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,2,Medium Value,0.45681122448979594,Satisfied,Low Loyalty,Low Risk,Mature,High,No
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,2,Medium Value,0.5251020408163266,Satisfied,Low Loyalty,Low Risk,Adult,High,No
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,2,High Value,0.712908163265306,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,2,High Value,0.608048469387755,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,2,High Value,0.6376658163265306,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,2,High Value,0.5609821428571429,Unsatisfied,Low Loyalty,High Risk,Mature,High,No
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,2,High Value,0.578265306122449,Satisfied,Medium Loyalty,Low Risk,Young Adult,High,No
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,2,Medium Value,0.44053571428571425,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,2,Medium Value,0.5054591836734694,Satisfied,Low Loyalty,Low Risk,Mature,High,No
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,2,High Value,0.8942602040816326,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,2,High Value,0.624375,Unsatisfied,High Loyalty,Low Risk,Young Adult,High,Yes
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,2,Medium Value,0.4898214285714285,Satisfied,Low Loyalty,Low Risk,Adult,High,No
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,2,Low Value,0.38542091836734693,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,2,High Value,0.8712755102040816,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,2,Low Value,0.3530867346938775,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,2,Low Value,0.20771683673469388,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,2,Low Value,0.17346938775510204,Unsatisfied,Low Loyalty,Low Risk,Adult,High,No
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,2,Low Value,0.38923469387755105,Satisfied,Low Loyalty,Low Risk,Mature,High,No
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,2,High Value,0.8111479591836734,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,2,Medium Value,0.4870918367346939,Satisfied,Low Loyalty,Low Risk,Adult,High,No
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,2,Low Value,0.3287117346938775,Satisfied,Low Loyalty,Low Risk,Mature,High,No
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,2,High Value,0.7762627551020408,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,2,High Value,0.5847831632653061,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2,Medium Value,0.4956377551020408,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,2,High Value,0.7509056122448979,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,2,High Value,0.5858801020408163,Satisfied,High Loyalty,Low Risk,Mature,High,Yes
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,2,High Value,0.7388903061224489,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,2,Medium Value,0.4457270408163265,Unsatisfied,Low Loyalty,Low Risk,Adult,High,No
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2,Medium Value,0.5088903061224489,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,2,Medium Value,0.5040816326530613,Satisfied,Low Loyalty,Low Risk,Mature,High,No
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,2,High Value,0.6236734693877551,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,2,Medium Value,0.44565051020408164,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,2,High Value,0.6357142857142857,Satisfied,Low Loyalty,Low Risk,Young Adult,High,No
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,2,High Value,0.585829081632653,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,2,High Value,0.7050127551020408,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,2,Low Value,0.25256377551020404,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2,Medium Value,0.5237627551020407,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,2,High Value,0.6555357142857142,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,2,High Value,0.598405612244898,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,2,Medium Value,0.4832908163265306,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,2,Medium Value,0.5026530612244898,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,2,Low Value,0.381109693877551,Satisfied,Low Loyalty,Low Risk,Mature,High,No
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,2,Medium Value,0.40306122448979587,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,2,Medium Value,0.48066326530612236,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,2,High Value,0.8494132653061224,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,2,Medium Value,0.43887755102040815,Unsatisfied,High Loyalty,Low Risk,Adult,High,No
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,2,High Value,0.8236352040816325,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,2,Medium Value,0.5454591836734693,Satisfied,Low Loyalty,Low Risk,Young Adult,High,No
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,2,Medium Value,0.5376785714285715,Satisfied,Low Loyalty,Low Risk,Mature,High,No
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,2,High Value,0.6002423469387755,Satisfied,Low Loyalty,Low Risk,Mature,High,No
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,2,Medium Value,0.4435841836734694,Satisfied,Low Loyalty,Low Risk,Mature,High,No
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,2,Medium Value,0.5424489795918368,Satisfied,Low Loyalty,Low Risk,Mature,High,No
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,2,Low Value,0.38929846938775503,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,2,High Value,0.8390178571428571,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,2,High Value,0.6584566326530612,Satisfied,Low Loyalty,Low Risk,Mature,High,No
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2,Medium Value,0.5032653061224489,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,2,High Value,0.5784948979591836,Satisfied,Low Loyalty,Low Risk,Adult,High,No
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,2,Medium Value,0.5420025510204082,Satisfied,High Loyalty,Low Risk,Mature,High,No
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,2,Medium Value,0.4186989795918368,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,2,High Value,0.5557397959183673,Satisfied,Low Loyalty,Low Risk,Mature,High,No
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,2,Low Value,0.39042091836734694,Satisfied,Medium Loyalty,Low Risk,Young Adult,High,No
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,2,Medium Value,0.45954081632653065,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,2,Low Value,0.30619897959183673,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,2,High Value,0.8477678571428572,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,2,Medium Value,0.40099489795918375,Satisfied,Low Loyalty,Low Risk,Mature,High,No
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,2,High Value,0.5880739795918367,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,2,Medium Value,0.49417091836734695,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,2,High Value,0.5999107142857143,Unsatisfied,Medium Loyalty,Low Risk,Young Adult,High,No
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,2,High Value,0.8993749999999999,Satisfied,High Loyalty,Low Risk,Mature,High,Yes
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,2,High Value,0.8346428571428572,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,2,High Value,0.5833163265306123,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,2,High Value,0.7917857142857144,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,2,Low Value,0.3174489795918367,Satisfied,Low Loyalty,Low Risk,Young Adult,High,No
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,2,High Value,0.5645408163265305,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,2,Medium Value,0.46852040816326523,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,2,High Value,0.6529974489795919,Satisfied,Low Loyalty,Low Risk,Mature,High,No
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,2,High Value,0.6247576530612245,Unsatisfied,High Loyalty,Low Risk,Young Adult,High,Yes
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,2,High Value,0.6488903061224489,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,2,Medium Value,0.5350382653061224,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,2,High Value,0.5650892857142857,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,2,Medium Value,0.5039285714285715,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,2,High Value,0.6984566326530612,Satisfied,Low Loyalty,Low Risk,Mature,High,No
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,2,High Value,0.6003443877551021,Satisfied,Low Loyalty,Low Risk,Mature,High,No
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,2,High Value,0.7617602040816326,Satisfied,Medium Loyalty,Low Risk,Adult,High,No
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,2,High Value,0.7303061224489796,Satisfied,Low Loyalty,Low Risk,Mature,High,No
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,2,High Value,0.9127551020408162,Unsatisfied,High Loyalty,Low Risk,Adult,High,Yes
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,2,High Value,0.7052678571428571,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,2,High Value,0.7254081632653061,Satisfied,Medium Loyalty,Low Risk,Young Adult,High,No
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,2,Medium Value,0.48070153061224485,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,2,Medium Value,0.43341836734693884,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,2,High Value,0.822423469387755,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,2,High Value,0.890625,Satisfied,High Loyalty,Low Risk,Adult,High,Yes
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,2,High Value,0.5975382653061224,Satisfied,Medium Loyalty,Low Risk,Mature,High,No
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,2,High Value,0.7416964285714286,Satisfied,Low Loyalty,Low Risk,Mature,High,No
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,2,Low Value,0.1975,Satisfied,Low Loyalty,Low Risk,Mature,High,No
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,2,Medium Value,0.5458673469387756,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,2,Medium Value,0.4430484693877551,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,2,High Value,0.7398852040816326,Unsatisfied,Medium Loyalty,Low Risk,Adult,High,No
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,2,High Value,0.7466709183673469,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,2,High Value,0.8227678571428572,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,2,Low Value,0.3868112244897959,Satisfied,Low Loyalty,Low Risk,Mature,High,No
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,2,Medium Value,0.45835459183673466,Satisfied,Low Loyalty,Low Risk,Adult,High,No
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,2,High Value,0.6434311224489796,Satisfied,Low Loyalty,Low Risk,Adult,High,No
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,2,Medium Value,0.4325765306122449,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,2,High Value,0.7208545918367346,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,2,High Value,0.8540051020408163,Unsatisfied,High Loyalty,Low Risk,Mature,High,Yes
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,2,Medium Value,0.5385969387755102,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,2,Medium Value,0.43892857142857145,Satisfied,Low Loyalty,Low Risk,Mature,High,No
